surfaceType,surfaceId,actorType,actorRole,context,intent,transaction,journeyId,servicesInvolved,apisInvolved,registriesInvolved,trustSecurityChecks,dataRecords,eventTopics,uiSurface,mobileSurface,nompiloSupport,relatedFeatures,nextActions,completionCriteria,doctrineCompliance,orchestrationStatus,sourcePath,apiClientHook
"frontend-route","/auth/login","provider","person","facility-bound professional capacity","Sign In","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/login","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/login/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/login/email","provider","person","facility-bound professional capacity","Sign In with Email","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/login/email","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/login/email/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/login/provider-id","provider","person","facility-bound professional capacity","Sign In with Provider ID","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/login/provider-id","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/login/provider-id/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/login/biometric","provider","person","facility-bound professional capacity","Biometric Verification","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/login/biometric","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/login/biometric/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/forgot-password","citizen","person","authentication","Forgot Password","","","experience-bff","","","none","","","/auth/forgot-password","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/auth/forgot-password/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/reset-password","citizen","person","authentication","Reset Password","","","experience-bff","","","none","","","/auth/reset-password","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/auth/reset-password/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/mfa","provider","person","facility-bound professional capacity","Multi-Factor Authentication","ADMINISTRATIVE_HEALTH:Provider Login & Role Activation","provider-login","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","varapi-service","ext_authz; step-up; device trust","session; provider registry lookup","auth.session.created","/auth/mfa","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","expected","workspace-context-selection; facility-context-selection","session established","Provider signs in with Provider ID, activates role, lands in workspace","mapped-to-core-transaction","coherent","ui/one-ui-shell/src/app/auth/mfa/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/logout","citizen","person","authentication","Signing Out","","","experience-bff","","","none","","","/auth/logout","","optional","","","","unmapped","unclear-intent","ui/one-ui-shell/src/app/auth/logout/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth","citizen","person","self-service registration; assurance level pending","Authentication","ADMINISTRATIVE_HEALTH:Citizen / Client Onboarding","citizen-onboarding","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/*, /internal/v1/vito/*","vito-service","TSHEPO session; identity assurance; consent","VITO clients; identity issuance; consent directives","identity.issued; core.transaction.events","/auth","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx; apps/mobile/citizen-app/src/screens/personal/ProfileSection.tsx","expected","consent-capture; health-id-issuance","consent review","Citizen completes registration, receives Health ID, sees next-step guidance","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/auth/page.tsx","hooks/queries/useAuth.ts"
"frontend-route","/auth/register","citizen","person","self-service registration; assurance level pending","Create Account","ADMINISTRATIVE_HEALTH:Citizen / Client Onboarding","citizen-onboarding","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/*, /internal/v1/vito/*","vito-service","TSHEPO session; identity assurance; consent","VITO clients; identity issuance; consent directives","identity.issued; core.transaction.events","/auth/register","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx; apps/mobile/citizen-app/src/screens/personal/ProfileSection.tsx","expected","consent-capture; health-id-issuance","consent review","Citizen completes registration, receives Health ID, sees next-step guidance","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/auth/register/page.tsx","hooks/queries/useAuth.ts"
