journeyId,journeyName,initiatingActor,respondingActor,transactionObject,context,entryPoint,startState,steps,backendServices,apis,frontendRoutes,mobileScreens,dataReadWritten,eventsEmitted,trustSecurityChecks,auditRequirements,completionState,currentImplementationStatus,missingBackendWork,missingFrontendMobileWork,relatedJourneys,productOwnerAcceptanceTest,coreTransactionType,lifecycleStage,completionClassification
"citizen-onboarding","Citizen / Client Onboarding","citizen","platform-registry","Health ID + person anchor","self-service registration; assurance level pending","/auth/register","DRAFT","register → assurance → identity resolution → Health ID issued → consent review","vito-service; tshepo-identity-service; identity-assurance-service; tshepo-consent-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/*, /internal/v1/vito/*","/auth/register; /auth/register/assurance; /auth/register/status; /id-services","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx; apps/mobile/citizen-app/src/screens/personal/ProfileSection.tsx","VITO clients; identity issuance; consent directives","identity.issued; core.transaction.events","TSHEPO session; identity assurance; consent","registration audit chain; identity issuance log","IDENTITY_RESOLVED","partial","issuance queue ops depth","","consent-capture; health-id-issuance","Citizen completes registration, receives Health ID, sees next-step guidance","ADMINISTRATIVE_HEALTH","IDENTITY","transaction-complete"
"provider-login","Provider Login & Role Activation","provider","platform-trust","authenticated session + Provider ID activation","facility-bound professional capacity","/auth/login/provider-id","INITIATED","login → MFA → provider lookup → role activation → session established","tshepo-authz-service; tshepo-identity-service; varapi-service; experience-bff","/internal/v1/auth/*, /internal/v1/identity/providers","/auth/login; /auth/login/biometric; /auth/login/email; /auth/login/provider-id; /auth/mfa; /auth/resolving","apps/mobile/citizen-app/src/screens/LoginScreen.tsx; apps/mobile/provider-app/src/screens/LoginScreen.tsx","session; provider registry lookup","auth.session.created","ext_authz; step-up; device trust","login audit; provider activation log","TRUST_CONTEXT_ESTABLISHED","wired","","","workspace-context-selection; facility-context-selection","Provider signs in with Provider ID, activates role, lands in workspace","ADMINISTRATIVE_HEALTH","ENTRY","transaction-complete"
"workspace-context-selection","Workspace / Shift Context Selection","provider","platform-registry","active workspace + shift context","department/ward/workspace under facility","/workspace","TRUST_CONTEXT_ESTABLISHED","select facility → select workspace → select shift → context headers injected","tuso-service; experience-bff","/internal/v1/workspaces/*, /internal/v1/shifts/*, /internal/v1/facilities","/facility; /facility/[id]; /shift; /shift/active; /shift/handover; /workspace; /workspace/[id]; /workspace/aggregate","","TUSO workspace/shift records","workspace.context.changed","facility guard; X-Workspace-ID; X-Shift-ID headers","context switch audit","TRUST_CONTEXT_ESTABLISHED","partial","","control-tower dashboards thin","facility-context-selection; provider-patient-encounter","Provider selects workspace/shift; subsequent requests carry trust context","ADMINISTRATIVE_HEALTH","TRUST_AND_CONSENT","transaction-complete"
"facility-context-selection","Facility Context Selection","provider","tuso-service","Facility ID context","regulated facility operating model","/facility","TRUST_CONTEXT_ESTABLISHED","facility search → select → X-Facility-ID set → queue/EHR unlocked","tuso-service; experience-bff","/internal/v1/facilities, /internal/v1/registry/*","/facility; /facility/[id]","apps/mobile/provider-app/src/screens/provider/APGARScreen.tsx; apps/mobile/provider-app/src/screens/provider/ActivityFeedScreen.tsx; apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/AssistedCommunicationPreferencesScreen.tsx; apps/mobile/provider-app/src/screens/provider/BedManagementScreen.tsx; apps/mobile/provider-app/src/screens/provider/BillingScreen.tsx; apps/mobile/provider-app/src/screens/provider/BookingRequestsScreen.tsx; apps/mobile/provider-app/src/screens/provider/CarePlanDetailScreen.tsx; apps/mobile/provider-app/src/screens/provider/ClinicalToolsScreen.tsx; apps/mobile/provider-app/src/screens/provider/CoreTransactionJourneyShellScreen.tsx; apps/mobile/provider-app/src/screens/provider/CriticalEventScreen.tsx; apps/mobile/provider-app/src/screens/provider/DeveloperHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/DiagnosisPanel.tsx; apps/mobile/provider-app/src/screens/provider/DischargeClearanceScreen.tsx; apps/mobile/provider-app/src/screens/provider/DischargeScreen.tsx; apps/mobile/provider-app/src/screens/provider/EncounterScreen.tsx; apps/mobile/provider-app/src/screens/provider/FacilityAdminScreen.tsx; apps/mobile/provider-app/src/screens/provider/FinanceOverviewScreen.tsx; apps/mobile/provider-app/src/screens/provider/FundoLearningShellScreen.tsx; apps/mobile/provider-app/src/screens/provider/HealthOsAppsScreen.tsx; apps/mobile/provider-app/src/screens/provider/InpatientScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx; apps/mobile/provider-app/src/screens/provider/LiveKitMobileConsultRoom.tsx; apps/mobile/provider-app/src/screens/provider/MarketplaceOpsScreen.tsx; apps/mobile/provider-app/src/screens/provider/MessagingScreen.tsx; apps/mobile/provider-app/src/screens/provider/NEWS2ScoringScreen.tsx; apps/mobile/provider-app/src/screens/provider/NotesPanel.tsx; apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/PACSViewerScreen.tsx; apps/mobile/provider-app/src/screens/provider/PatientLookupScreen.tsx; apps/mobile/provider-app/src/screens/provider/PatientRegistrationScreen.tsx; apps/mobile/provider-app/src/screens/provider/PharmacyDispensingScreen.tsx; apps/mobile/provider-app/src/screens/provider/PharmacyHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/PrescriptionPanel.tsx; apps/mobile/provider-app/src/screens/provider/ProductionReadinessJourneyScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalChannelsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalProfileScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalSettingsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProviderDashboardScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProviderSocialScreen.tsx; apps/mobile/provider-app/src/screens/provider/PublicHealthFieldTasksScreen.tsx; apps/mobile/provider-app/src/screens/provider/QueueManagementScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReferralPanel.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx; apps/mobile/provider-app/src/screens/provider/ResultsViewScreen.tsx; apps/mobile/provider-app/src/screens/provider/ResuscitationScreen.tsx; apps/mobile/provider-app/src/screens/provider/ScheduleScreen.tsx; apps/mobile/provider-app/src/screens/provider/ShiftHandoffScreen.tsx; apps/mobile/provider-app/src/screens/provider/SpecialtyWorkspacePanel.tsx; apps/mobile/provider-app/src/screens/provider/SystemStatusScreen.tsx; apps/mobile/provider-app/src/screens/provider/TelemedicineScreen.tsx; apps/mobile/provider-app/src/screens/provider/TraumaScreen.tsx; apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx; apps/mobile/provider-app/src/screens/provider/WorkflowDispatchOpsScreen.tsx","facility registry; workspace bindings","facility.context.selected","facility guard; purpose-of-use","facility access audit","ACCESS_GRANTED","wired","","digital readiness dashboards thin","workspace-context-selection; queue-walk-in","Provider selects facility; queue and EHR routes become available","ADMINISTRATIVE_HEALTH","TRUST_AND_CONSENT","transaction-complete"
"patient-search-selection","Patient Search & Selection","provider","vito-service","subject Health ID / CPID selection","facility queue or EHR entry","/queue/search","IDENTITY_PENDING","search → match → select patient → open chart or queue item","vito-service; experience-bff; pct-service","/internal/v1/vito/*, /internal/v1/identity/*, /internal/v1/queue","/ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals; /queue/search","","client registry read; queue item link","patient.selected","purpose-of-use; subject relationship; consent","patient access audit","IDENTITY_RESOLVED","wired","","","queue-walk-in; provider-patient-encounter","Provider searches patient, selects, opens chart with correct CPID","FACILITY_WALK_IN","IDENTITY","transaction-complete"
"queue-walk-in","Queue / Walk-in Registration","provider","pct-service","queue item + journey start","facility outpatient reception","/queue/walk-in","QUEUED","walk-in capture → triage queue → waiting room → call next","pct-service; vito-service; tuso-service; experience-bff","/internal/v1/queue, /internal/v1/queues, /internal/v1/journeys","/queue; /queue/incoming-referrals; /queue/scheduled; /queue/search; /queue/triage; /queue/waiting; /queue/walk-in","apps/mobile/provider-app/src/screens/provider/QueueManagementScreen.tsx","queue items; patient journeys","pct.queue.item.created; core.transaction.events","facility context; RBAC","queue action audit","READY_FOR_PROVIDER","wired","","","patient-search-selection; outpatient-consultation","Walk-in registered, appears in queue, provider can call","FACILITY_WALK_IN","SCHEDULING_OR_QUEUE","transaction-complete"
"provider-patient-encounter","Provider Patient Encounter","provider","pct-service","Encounter ID","EHR encounter workspace","/ehr/[patientId]/encounter/[encounterId]","IN_SERVICE","open chart → start encounter → document → orders → complete encounter","pct-service; butano-service; experience-bff; guidance-service","/internal/v1/encounters/*, /internal/v1/core-transactions/*","/core-transaction; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters","apps/mobile/provider-app/src/screens/provider/EncounterScreen.tsx","encounter lifecycle; clinical notes; vitals","pct.encounter.*; core.transaction.events","provider capacity; consent; break-glass if emergency","encounter audit chain","CLINICAL_COMPLETION_PENDING","wired","pathway execution orchestration partial","","outpatient-consultation; lab-order-result; prescription-dispense","Provider completes encounter end-to-end with real PCT data","FACILITY_WALK_IN","ENCOUNTER_OR_DELIVERY","transaction-complete"
"outpatient-consultation","Outpatient Consultation","provider","pct-service","consultation encounter","outpatient clinic","/clinical","IN_SERVICE","queue → triage → consult → orders → discharge instructions","pct-service; butano-service; oros-service; pharmacy-service; experience-bff","/internal/v1/encounters, /internal/v1/triage, /internal/v1/clinical-notes","/clinical; /clinical-tools; /clinical-tools/forms; /clinical-tools/rules; /clinical/control-tower; /clinical/dictation; /clinical/emergency; /clinical/inpatient; /clinical/inpatient/admissions; /clinical/inpatient/admissions/[admissionId]; /clinical/inpatient/discharge/[admissionId]; /clinical/inpatient/nursing; /clinical/inpatient/rounds; /clinical/inpatient/ward-board; /ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals; /queue/triage","apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsMonitorScreen.tsx; apps/mobile/provider-app/src/screens/provider/VitalsPanel.tsx","encounter; vitals; notes; orders","core.transaction.events; pct-clinical-encounter","standard clinical authz","clinical audit","COMPLETED","partial","","","provider-patient-encounter; prescription-dispense; lab-order-result","Outpatient consult documented with vitals, note, and next steps","FACILITY_WALK_IN","ENCOUNTER_OR_DELIVERY","transaction-complete"
"inpatient-admission","Inpatient Admission Workflow","provider","inpatient-service","Admission ID + bed assignment","ward/inpatient unit","/ehr/[patientId]/inpatient","ADMITTED","admit → bed assign → ward rounds → discharge planning","inpatient-service; pct-service; tuso-service; experience-bff","/internal/v1/inpatient/*, /internal/v1/beds/*","/beds; /ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals","apps/mobile/provider-app/src/screens/provider/BedManagementScreen.tsx; apps/mobile/provider-app/src/screens/provider/InpatientScreen.tsx","admission; bed state; ward movements","inpatient.admission.*","inpatient permissions; ward context","admission/discharge audit","ADMITTED","partial","","","provider-patient-encounter; emergency-encounter","Patient admitted, bed assigned, visible in ward worklist","EMERGENCY","ENCOUNTER_OR_DELIVERY","transaction-complete"
"telemedicine-encounter","Telemedicine Encounter","provider","pct-service","teleconsult referral + session","remote care; consent required","/telemedicine","SCHEDULED","create session → consent → routing → consult (RTC blocked) → referral update","pct-service; mvumo-service; rtc-gateway-service; experience-bff","/internal/v1/teleconsult/*, /internal/v1/mvumo/*","/telemedicine; /telemedicine/new; /telemedicine/session/[sessionId]","apps/mobile/citizen-app/src/screens/telehealth/LiveKitMobileConsultRoom.tsx; apps/mobile/citizen-app/src/screens/telehealth/TelehealthListScreen.tsx; apps/mobile/citizen-app/src/screens/telehealth/TelehealthSessionScreen.tsx","referral; consent request; session metadata","teleconsult.session.*","consent; remote session authz","telehealth audit","COMPLETED","partial","RTC media intentionally unavailable","RTC media transport preview-limited (lifecycle BFF wired)","consent-capture; referral-create","Teleconsult created, consented, referral persisted without RTC","TELEMEDICINE","ENCOUNTER_OR_DELIVERY","transaction-complete"
