source_id,classification,requirement,implementation_status,route_or_screen,api_command_query_event,permission_or_policy,entity_schema_or_config_definition,automated_test,applicant_provider_counterpart,implementation_evidence,decision_or_gap_ref
PLATFORM-CONFIG-REGISTRY,PLATFORM_DERIVED,Regulatory Configuration Registry — packs/releases/definitions/versions scoped by regulator,NOT_IMPLEMENTED,,,,org-registry V013+ (planned),,n/a — internal platform,,NCZ-W1A
PLATFORM-CONFIG-REGISTRY,PLATFORM_DERIVED,Definition lifecycle Draft/InReview/Approved/Scheduled/Active/Retired with no in-place edit of Active,NOT_IMPLEMENTED,,,,regulatory_config_definition_version (planned),,n/a,,NCZ-W1A
PLATFORM-CONFIG-REGISTRY,PLATFORM_DERIVED,Release-level referential validation; activation fails on unresolved references,NOT_IMPLEMENTED,,,,regulatory_config_release (planned),,Activation preview shows applicant-side impact,,NCZ-W1A
PLATFORM-CONFIG-REGISTRY,PLATFORM_DERIVED,Four-eyes approval for fees/penalties/register-entry rules/decision workflows,NOT_IMPLEMENTED,,,reuse TwoPersonApprovalService,regulatory_config_approval (planned),,n/a,Existing four-eyes rail reusable (workforce-governance),NCZ-W1A
PLATFORM-CASE-VERSION-PINNING,PLATFORM_DERIVED,Each case pins the exact definition versions that governed it; completed cases never rewritten,NOT_IMPLEMENTED,,,,regulatory_case_config_binding (planned),,Applicant sees the rules their case started under,,NCZ-W1A
PLATFORM-CONFIG-REGISTRY,PLATFORM_DERIVED,Source-controlled pack import/export; Registry authoritative after activation,NOT_IMPLEMENTED,,,,config/regulatory/councils/nurses-council/ (planned),,n/a,Mirror tuso InspectionContentSeeder checksum-immutability pattern,NCZ-W1A
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Student discovers service and checks eligibility,NOT_IMPLEMENTED,,,,application_type definition,,Student self-service,,NCZ-W1C
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Student saves a draft application and completes it over time,NOT_IMPLEMENTED,,,,form definition + submission,,Student self-service,,NCZ-W1C
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Mandatory supporting documents for student registration,NOT_IMPLEMENTED,,,,evidence_requirement definition,,Personalised checklist with acceptable evidence,,NCZ-W1C
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Student index fee invoiced and paid before admission,NOT_IMPLEMENTED,,,,fee_schedule definition (amount unset),,Invoice + payment + receipt in self-service,Amount pending,NCZ-DEC-002
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Unique student index number generated by the platform,NOT_IMPLEMENTED,,,,numbering_policy definition,,Student sees issued index number,Format pending; mechanism buildable,NCZ-DEC-001
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Admission to the Student Register with effective dates and provenance,NOT_IMPLEMENTED,,,,varapi register entry + FSM (planned V039+),,Student sees register status,Register-entry status currently unconstrained VARCHAR with no FSM,NCZ-W1C
PO-NCZ-STUDENT-REGISTRATION,BRD_DERIVED_PO_APPROVED,Regulator returns individual sections rather than the whole application,NOT_IMPLEMENTED,,,,application_information_request (exists),,Applicant corrects only returned sections,RFI rail exists; section-level return does not,NCZ-W1C
PO-NCZ-SELF-SERVICE,BRD_DERIVED_PO_APPROVED,Training institution makes a bounded contribution (confirm enrolment) without seeing the whole case,NOT_IMPLEMENTED,,,,contributor invite (absent),,Institution contributor journey,No contributor-invite model exists,NCZ-W1C
PO-NCZ-REPORTING,BRD_DERIVED_PO_APPROVED,Student-registration reports and regulator/applicant/institution dashboards,NOT_IMPLEMENTED,,,,rpt_report_definitions (extend),,Applicant + institution dashboards,reporting V003 pattern reusable,NCZ-W1D
PO-NCZ-FINANCE,BRD_DERIVED_PO_APPROVED,Invoicing and payment for council fees,IMPLEMENTED_PARTIAL,,varapi ProviderPaymentObligationService + MusheXClient,,provider_payment_obligations,none,Applicant invoice + receipt,Obligation + intent exist; NO fee schedule; no Costa leg; zero unit tests,NCZ-W1C
PO-NCZ-FINANCE,BRD_DERIVED_PO_APPROVED,Multiple currencies,NOT_IMPLEMENTED,,,,currency policy definition,,Applicant sees invoice currency,No FX/exchange-rate machinery anywhere in the estate,NCZ-DEC-014
PO-NCZ-FINANCE,BRD_DERIVED_PO_APPROVED,Refunds and reversals,IMPLEMENTED_PARTIAL,,mushex POST /payment-intents/{id}/refund; ReversalRecordPlatformController,,mushex_refunds; mushex_reversal_records,,Applicant sees refund/reversal,mushex rails exist; varapi only flips a status with no refund record,NCZ-W6
PO-NCZ-FINANCE,BRD_DERIVED_PO_APPROVED,Carry-forward balances and payment allocation,NOT_IMPLEMENTED,,,,fee_schedule allocation rules,,Applicant sees credit balance,No payer credit/carry-forward anywhere; only COSTA budget period-close,NCZ-DEC-015
PO-NCZ-EXAMINATIONS,BRD_DERIVED_PO_APPROVED,Examination types/sessions/centres/candidates/entry numbers/slips/attendance/marks/moderation/results/publication/attempts,NOT_IMPLEMENTED,,,,examination definitions (planned),,Candidate journey,Zero examination code in varapi,NCZ-W2
PO-NCZ-SUPERVISED-PRACTICE,BRD_DERIVED_PO_APPROVED,Supervised-practice placements/supervisors/attestations/accumulated duration/interruptions,NOT_IMPLEMENTED,,,,supervised_practice definitions (planned),,Provisional registrant dashboard,Absent; existing 'supervisor' concepts are clinical privileging,NCZ-W3
PO-NCZ-PROVISIONAL-REGISTRATION,BRD_DERIVED_PO_APPROVED,Provisional registration and provisional licence,NOT_IMPLEMENTED,,,,register definition,,Provisional registrant journey,No NCZ provisional register seeded,NCZ-W3
PO-NCZ-PROVISIONAL-REGISTRATION,BRD_DERIVED_PO_APPROVED,Migration from Provisional to Main Register after supervised practice,NOT_IMPLEMENTED,,,,register-entry FSM,,Registrant sees migration readiness,Nothing to hang migration on until the entry FSM exists,NCZ-DEC-006
PO-NCZ-MAIN-REGISTER,BRD_DERIVED_PO_APPROVED,Main Register entries and multiple nursing qualifications,EXISTING_REUSABLE,,varapi RegisterController,,professional_registers + provider_council_registration_records,MyRegulatoryServiceTest,My Regulatory Affairs,4 NCZ registers seeded; entries lack FSM/effective dating,NCZ-W4
PO-NCZ-MAIN-REGISTER,BRD_DERIVED_PO_APPROVED,Practising certificate issuance and renewal,IMPLEMENTED_PARTIAL,,varapi RenewalEligibilityService,,provider_council_licence_records,RenewalEligibilityServiceTest,Renewal card in My Regulatory Affairs,Renewal gate is CPD-only; no fee/standing/restriction check; sweep lapses silently,NCZ-W4
PO-NCZ-MAIN-REGISTER,BRD_DERIVED_PO_APPROVED,Renewal penalties after expiry,NOT_IMPLEMENTED,,,,penalty_policy definition,,Applicant sees penalty,Zero penalty code in varapi,NCZ-DEC-003
PO-NCZ-INSTITUTIONS,BRD_DERIVED_PO_APPROVED,Registered nurse-led health institution registration lifecycle,NOT_IMPLEMENTED,,,,institution category definitions,,Owner/manager/responsible-nurse journeys,tuso practice_establishment_case is HPA/facility-shaped; no nurse-led category,NCZ-W5
PO-NCZ-SELF-SERVICE,BRD_DERIVED_PO_APPROVED,Public verification of nurse registration and certificate authenticity,EXISTING_REUSABLE,/verify,varapi GET /v1/public/practitioners/verify/{registrationNumber},public lane ADR,PublicPractitionerVerificationResponse,PublicPractitionerVerificationControllerTest,Public journey,15 allow-listed fields; uniform hit/miss; good standing binary,
PO-NCZ-SELF-SERVICE,BRD_DERIVED_PO_APPROVED,Registered nurse sees own regulatory profile,EXISTING_REUSABLE,/professional/regulatory,BFF /internal/v1/me/regulatory/summary,resolves caller from trust context,provider_council_registration_records,MyRegulatoryServiceTest,This IS the counterpart,313-line real page,
PO-NCZ-SELF-SERVICE,BRD_DERIVED_PO_APPROVED,Applicant responds to RFI within the same case; internal notes never visible,EXISTING_REUSABLE,/professional/regulatory/applications/[id],BFF /me/regulatory/applications/{id}/rfis/{rfiId}/respond,visibility APPLICANT vs INTERNAL,application_case_message,RegulatoryApplicationCorrespondenceServiceTest,This IS the counterpart,294-line real page; INTERNAL never in applicant thread,
PLATFORM_DERIVED,PLATFORM_DERIVED,Council staff do not require a facility assignment,EXISTING_REUSABLE,/work/regulatory,BFF WorkContextController org branch,WORK_CONTEXT token org_id claim,org_registry_regulatory_appointment,,n/a,ROM-W2 org-scoped session,
PLATFORM_DERIVED,PLATFORM_DERIVED,Cross-council isolation,IMPLEMENTED_PARTIAL,,,tshepo-authz V045/V046/V047,policy_rule,,n/a,SHADOW active=false; not enforced,NCZ-W1E
PLATFORM_DERIVED,PLATFORM_DERIVED,Council configuration owned and operated by the council,NOT_IMPLEMENTED,,varapi PUT council-regulatory-config,,council_regulatory_configs,none,n/a,Single mutable row per council; destructive PUT; 3 of 4 blobs have no reader,NCZ-W1A
