service_name,service_slug,plane_domain,product_role,internal_or_external,runtime_deployment_required,deployed_preview,running_preview,surfaced_shell,surfaced_mobile,bff_downstream,keycloak_trust,required_roles,required_context,main_routes,main_apis,events_topics,dependencies,health_endpoint,test_scenarios_required,current_maturity,current_blockers,required_fixes,preview_testability_dod
Ai Model Registry,ai-model-registry-service,data/intelligence,Ai Model Registry canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Analytics Pipeline,analytics-pipeline-service,integration/platform-ops,Analytics Pipeline canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Asset Registry,asset-registry-service,integration/platform-ops,Asset Registry canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8310,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Audit Ledger,audit-ledger-service,integration/platform-ops,Audit Ledger canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8350,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Banking Rails,banking-rails,enterprise/finance,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Booking,booking-service,experience/workflow-orchestration,Booking canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
BUTANO FHIR,butano-fhir,clinical/care-delivery,Butano Fhir canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8289,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
BUTANO,butano-service,clinical/care-delivery,Butano canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8090,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Butano Web,butano-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Campaigns,campaigns-service,data/public-health-campaigns,public-health campaign definitions; campaign outreach plans and schedules; campaign execution state and coverage metrics,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8190,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Card Print Agent,card-print-agent,integration/interoperability,Card Print Agent canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8291,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Channels,channels-service,integration/interoperability,Channels canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8130,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
